Description,Body,Cylinders,Description*,Drivetrain,Engine Displacement,Fuel System,Fuel Type,Generation,Make,Model,Sub-model,Transmission,Trim
California F149 4.3L V8 Rear-Wheel Drive (RWD),Convertible,V8,California F149 4.3L V8 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),4.3L,Direct Injection,Gas,California F149 2012-2017,Ferrari,California F149,,Manual,
80 Avant RS2 1994-1996,Wagon,,80 Avant RS2,,,,Gas,,Audi,80,80 Avant RS2 2.2L L5 All-Wheel Drive (AWD),,Avant RS2
80 Avant RS2 2.2L L5 All-Wheel Drive (AWD),Wagon,L5,80 Avant RS2 2.2L L5 All-Wheel Drive (AWD),All-Wheel Drive (AWD),2.2L,Turbocharged Multipoint Injection,Gas,80 Avant RS2 1994-1996,Audi,80,,Manual,Avant RS2
80 Avant S2 1993-1995,Wagon,,80 Avant S2,,,,Gas,,Audi,80,80 Avant S2 2.2L L5 All-Wheel Drive (AWD),,Avant S2
80 Avant S2 2.2L L5 All-Wheel Drive (AWD),Wagon,L5,80 Avant S2 2.2L L5 All-Wheel Drive (AWD),All-Wheel Drive (AWD),2.2L,Turbocharged Multipoint Injection,Gas,80 Avant S2 1993-1995,Audi,80,,Manual,Avant S2
80 S2 1993-1995,Wagon,,80 S2,,,,Gas,,Audi,80,80 S2 2.2L L5 All-Wheel Drive (AWD),,S2
80 S2 2.2L L5 All-Wheel Drive (AWD),Wagon,L5,80 S2 2.2L L5 All-Wheel Drive (AWD),All-Wheel Drive (AWD),2.2L,Turbocharged Multipoint Injection,Gas,80 S2 1993-1995,Audi,80,,Manual,S2
F355 Spider 3.5L V8 Rear-Wheel Drive (RWD),Convertible,V8,F355 Spider 3.5L V8 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),3.5L,Multipoint Injection,Gas,F355 Spider 1995-1999,Ferrari,F355,,Automatic,Spider
F355 3.5L V8 Rear-Wheel Drive (RWD),Coupe,V8,F355 3.5L V8 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),3.5L,Multipoint Injection,Gas,F355 1994-1999,Ferrari,F355,,Automatic,
F355 3.5L V8 Rear-Wheel Drive (RWD),Coupe,V8,F355 3.5L V8 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),3.5L,Multipoint Injection,Gas,F355 1994-1999,Ferrari,F355,,Manual,
F355 GTS 1995-1999,Coupe,,F355 GTS,,,,Gas,,Ferrari,F355,"F355 GTS 3.5L V8 Rear-Wheel Drive (RWD) , F355 GTS 3.5L V8 Rear-Wheel Drive (RWD)",,GTS
F355 GTS 3.5L V8 Rear-Wheel Drive (RWD),Coupe,V8,F355 GTS 3.5L V8 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),3.5L,Multipoint Injection,Gas,F355 GTS 1995-1999,Ferrari,F355,,Automatic,GTS
F355 GTS 3.5L V8 Rear-Wheel Drive (RWD),Coupe,V8,F355 GTS 3.5L V8 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),3.5L,Multipoint Injection,Gas,F355 GTS 1995-1999,Ferrari,F355,,Manual,GTS
F355 Spider 3.5L V8 Rear-Wheel Drive (RWD),Convertible,V8,F355 Spider 3.5L V8 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),3.5L,Multipoint Injection,Gas,F355 Spider 1995-1999,Ferrari,F355,,Manual,Spider
599 GTB Fiorano 6.0L V12 Rear-Wheel Drive (RWD),Coupe,V12,599 GTB Fiorano 6.0L V12 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),6.0L,Multipoint Injection,Gas,599 GTB Fiorano 2006-2012,Ferrari,599,,Automatic,GTB Fiorano
599 GTB Fiorano 6.0L V12 Rear-Wheel Drive (RWD),Coupe,V12,599 GTB Fiorano 6.0L V12 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),6.0L,Multipoint Injection,Gas,599 GTB Fiorano 2006-2012,Ferrari,599,,Manual,GTB Fiorano
599 GTO 6.0L V12 Rear-Wheel Drive (RWD),Coupe,V12,599 GTO 6.0L V12 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),6.0L,Direct Injection,Gas,599 GTO 2010-2012,Ferrari,599,,Automatic,GTO
348 ts 3.4L V8 Rear-Wheel Drive (RWD),Coupe,V8,348 ts 3.4L V8 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),3.4L,Multipoint Injection,Gas,348 ts 1989-1993,Ferrari,348,,Manual,ts
348 tb 3.4L V8 Rear-Wheel Drive (RWD),Coupe,V8,348 tb 3.4L V8 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),3.4L,Multipoint Injection,Gas,348 tb 1989-1993,Ferrari,348,,Manual,tb
348 GTS 3.4L V8 Rear-Wheel Drive (RWD),Coupe,V8,348 GTS 3.4L V8 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),3.4L,Multipoint Injection,Gas,348 GTS 1993-1994,Ferrari,348,,Manual,GTS
348 GTB 3.4L V8 Rear-Wheel Drive (RWD),Coupe,V8,348 GTB 3.4L V8 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),3.4L,Multipoint Injection,Gas,348 GTB 1993-1994,Ferrari,348,,Manual,GTB
Cullinan 2018-Present,SUV,,Cullinan,,,,Gas,,Rolls-Royce,Cullinan,Cullinan 6.75L V12 All-Wheel Drive (AWD),,
Cullinan 6.75L V12 All-Wheel Drive (AWD),SUV,V12,Cullinan 6.75L V12 All-Wheel Drive (AWD),All-Wheel Drive (AWD),6.75L,Turbocharged Direct Injection,Gas,Cullinan 2018-Present,Rolls-Royce,Cullinan,,Automatic,
